,artist,formatted_lyrics
124,0,You-ooh-ooh-ooh-ooh
125,0,You bettr learn when she lt you-ooh-ooh-ooh-ooh
126,0," now, you shackled"
127,0,"My homies now, you locked up got my weapon razor now, you fucked up better shut up "
128,0,I'm that weapon
129,0,Better than a tongue I got weapon
130,0,"Better than a snitch, what just happen?Got a pretty throat will be taken"
131,0,"You better, you better"
132,0,You better learn when she let you-ooh-ooh-ooh-ooh
133,0,You better learn when she let you-ooh-ooh-ooh-ooh
134,0,Fill me fill you i got some love
135,0,Feel me feel you i got some love
136,0,Feed me feed you with my love
137,0,Fill me fill you with my l o v e 
138,0,Fill me fill you i got some love
139,0,Feel me feel you i got some love
140,0,Feed me feed you with my love
141,0,Fill me fill you with my l o v e
142,0,Nobody told me
143,0,I can have the whole chocolate
144,0,So I fed it to my buddy
145,0,Nobody told me
146,0,I get grands for hour and half
147,0,So I sold it for one hunnit
148,0,"Yeah, I allow myself to lose it, to lose it"
149,0,Allow myself to lose it
150,0,"Yeah, allow myself to lose it, to lose it"
151,0,Allow myself to lose it
152,0,'Cause I sold it for one hunnit
153,0,Sold it for one hunnit
154,0,I sold it for one hunnit
155,0,"Yeah, I allow myself to lose it"
156,0,Nobody told me
157,0,I can taste my own birthday cake
158,0,So I kept it in my closet
159,0,Nobody told me
160,0,"I can throw myself, to doomsday lake"
161,0,So I let myself go lose it
162,0,Pop champagne all night
163,0,Put the chandelier up high
164,0,Bodies on my bed
165,0,"All my baddies gonna up all night, hah, hah-hah-hah-hah"
166,0,"Bang, hard to say goodbye"
167,0,You were my favorite thing 'til now
168,0,Bodies on the deck
169,0,Cold water is up your neck
170,0,"Least loved will be there say, ""Hi"""
171,0,"Baby, tell me why"
172,0,You keep showing up in my dream 
173,0,"Oh-oh, oh-oh, oh-oh, oh"
174,0,In my wet nightmare
175,0,"Oh-oh, oh-oh, oh-oh, oh"
176,0,Visit my wet night terror
177,0,Love got me haunted
178,0,Got me trapped in
179,0,"Baby, got me stuck inside your heart"
180,0,Your body got me drowning
181,0,Got me soaking
182,0,"Baby, got me stuck inside your heart"
183,0,Youre pretty even dying
184,0,Even ghosting
185,0,Pretty even 'cause you broke my heart
186,0,Love got you haunted
187,0,Got you trapped in
188,0,"Baby, got you stuck inside my heart"
189,0,"Baby, tell me why"
190,0,You keep showing up in my dream 
191,0,Open your eyes
192,0,Mind your own business
193,0,Own business and IKeep yourself low 
194,0,But I go high(Yeah)
195,0,But I go high 
196,0,Im going high
197,0,Pull me down with your tongue
198,0,Im a star
199,0,Try to take me down and wave me goodbye 
200,0,Pull you down with my voice
201,0,Falling stars
202,0,If you need it I can be sacrificed cause
203,0,With stony eyes
204,0,What are you looking for
205,0,With snowy face
206,0,Why are you look so blue 
207,0,"Fly with me why don't you, fly with me"
208,0,Through the stars
209,0,"Fly with me why don't you, fly with me"
210,0,Through the night
211,0,"Fly with me why don't you, fly with me"
212,0,Through the stars
213,0,"Fly with me why don't you, fly with me"
214,0,Through the night
215,0,Baby 
216,0,"Venus, Earth to Mars, Jupiter "
217,0,"Fly with me why don't you, fly with me "
218,0,"Fly with me why don't you, fly with me"
219,0,Through the night
220,0,Inside of me 
221,0,Ill find you 
222,0,"Give a little more, give a little more"
223,0,"Care a little less, care a little less"
224,0,"Give a little more, give a little more"
225,0,"Care a little less, care a little less"
226,0,"Give a little more, give a little more"
227,0,"Care a little less, care a little less"
228,0,"Give a little more, give a little more"
229,0,"Care a little less, care a little less"
230,0,"Give a little more, give a little more give a less care on my ring-ring, baby "
231,0,Chicks gonna get you
232,0,Chicks gonna hate you
233,0,Chicks tryna keep you
234,0,In her feelings too 
235,0,"You nice, give 'er that I know"
236,0,So I'm gonna take it
237,0,Not gonna keep it
238,0,Let things go on
239,0,Let things just flow
240,0,"Give a little more, give a little more (Give a little more)"
241,0,"Care a little less, care a little less (Care a little less)"
242,0,"Give a little more, give a little more (Oh)"
243,0,"Care a little less, care a little less (Care a little less)"
244,0,"Give a little more, give a little more"
245,0,"Care a little less, care a little less"
246,0,"Give a little more, give a little more (Give a little more, give a little more)"
247,0,"Care a little less, care a little less (Care a little less)"
248,1,"Come and talk to me, baby (La-la, la, la)"
249,1, (Love me)
250,1,"Tell me what to do, what to do"
251,1,"Touch, (Ah-hoo)"
252,1,"Ouch, (Ah-hoo)"
253,1,"Tell me what to do, what to do"
254,1," (Ah, yah, ooh)"
255,1," , no , away (Sparkle)"
256,1,"Oh, baby, you're all mine, mine, I, I, I "
257,1,"Oh, baby, you're all mine, mine, I, I, I (Drop it)"
258,1,"So, oh-oh, oh-oh-oh, you make me sparkle (Ah)"
259,1,"Oh, oh-oh, oh-oh-oh, I'll be your sparkle"
260,1,Sparkling
261,1, flavor (No-no)
262,1,", oh, my favorite (Take me all the way)"
263,1," , oh, "
264,1,"Fallin', lovin', I'ma dive in"
265,1,"Gosh, (Ah-hoo)"
266,1,"Crush, (Ah-hoo)"
267,1,"Tell me what to do, what to do"
268,1," (Ah, yah, ooh)"
269,1," , no , oh (Sparkle)"
270,1,(Fuck)
271,1,"Shit, , na-na-na, , na (Yeah, yeah, yeah)"
272,1,"You, you feelin' me feelin' sharp and risky"
273,1,Shaped like diamond (Yeah)
274,1,"Now, come beg on my feet , like diamond (Diamond)"
275,1, beauty (Yeah; Beauty)
276,1,"Uh, reflecting different parts of me diversely (Oh, yeah)"
277,1,Tear me do-do-do-do-do-do-down (Do-do-do-down)
278,1," , hit me harder (Hit me harder)"
279,1,"Dare me do-do-do-do-do-do-down (Down, down, oh)"
280,1," , 'cause I'm a fighter"
281,1," , yeah, oh(Tear, tear me down, tear me down, tear me down)"
282,1,I won't cover up anymore
283,1,"Shattered pieces shine on the floor , yeah, oh(Dare, dare me down, dare me down, dare me down)"
284,1,"Guess, I should be thanking you for"
285,1,Glittered pieces shine on the floor
286,1,Ain't gonna waste my time
287,1,Gracefully facing you haters cry
288,1,"Out of my way, don't mind"
289,1,"Gibber and gabber, go get a life (Ooh)"
290,1,"I got the game, I'm on the reign"
291,1,"Stuck in my trap now, obey"
292,1,"No reason to vile in the back, back"
293,1,"House of the clown, make me crack, crack"
294,1,"Hey, "
295,1,"Say, ( )"
296,1,"No matter what it is, I will be listening"
297,1,"Way, ( )"
298,1, (Ah-ah-ah)
299,1, (Free)
300,1," , louder, louder , all the hater, hater"
301,1,It's time to raise our voice (Raise our voice)
302,1,"Let's go and make some noise , future, future"
303,1,"Hey!Hey!Louder, louder"
304,1,"Pray, "
305,1,"Okay, ( )"
306,1," (Yeah, you are)"
307,1,"Brave, "
308,1, (Ah-ah-ah)
309,1, (--)
310,1," , louder, louder , all the hater, hater"
311,1,It's time to raise our voice (Raise our voice)
312,1,"Let's go and make some noise , future, futur"
313,1," , broken , hmm-hmm ocean"
314,1, romantic 
315,1,"Come on, California girls on the beach"
316,1,On the West Coast
317,1,"Baby, let's go, let's go"
318,1,Gimme that Hollywood heat
319,1,My California dream
320,1,"Ooh-ooh-ooh-ooh-ooh, my California dream"
321,1,"Ooh-ooh-ooh-ooh-ooh, that's where I wanna be"
322,1,"Ooh-ooh-ooh-ooh-ooh, my California dream"
323,1,"On the West Coast, baby, let's go, let's go"
324,1," , anybody home? "
325,1,"Ooh, I know there's no one "
326,1,"Then, you play my favorite song again"
327,1,Idon'twannacry
328,1,Every night Itry 
329,1,It breaks my heart in two 
330,1,"Good night, my princess"
331,1, ( )
332,1," , in my dream "
333,1," , my favorite song again"
334,1,I don't wanna cry
335,1,Every night I try 
336,1,It breaks my heart in two 
337,1,"Good night, my princess"
338,1," 'Cause the silence, it always hurts "
339,1, sound
340,1,"If you love me, then scream and shout"
341,1,Don't wanna lose ya but you're fading out
342,1,So if you love me
343,1,Love me out loud
344,1,"Out loud, out loud"
345,1,Love me out loud (Love me out loud)
346,1,"Out loud, out loud (Love me out, love me out loud, love me out loud, love me out)"
347,1,Hear the roar 
348,1,Gotta scream until my lungs run out 
349,1, sound
350,1,"If you love me, then scream and shout"
351,1,Don't wanna lose ya but you're fading out
352,1,So if you love me
353,1,"Uh-nuh-nuh, nuh-nuh-uh"
354,1,I know you still like me (Uh-huh)
355,1,Affecting your psyche like
356,1,"Uh-huh, nuh-uh-uh-huh "
357,1,"Nuh-uh, nuh-uh-uh-huh"
358,1," my whole damn style fascinating , yeah, yeah, yeah"
359,1,"I'm work of art, I'll take your heart, get it racing"
360,1,"Making you stop, making you stare, 'cause you know I'm rare"
361,1,"Right?Wanna, wanna, , wannabe, right? I'm the one, I'm the real one"
362,1,"Wanna, wanna, , wannabe, right? , nuh-uh"
363,1,"Bad, bad, for the history"
364,1,"Good God, I'm a masterpiece (Right?)"
365,1,"Wanna, wanna, , wannabe, right? I'm the one, I'm the real one (Real one)"
366,1,"Nuh-uh-uh-uh-uh-uh , wannabe, right?Nuh-uh-uh-uh-uh-uh , and you know it, huh"
367,1,"Nuh-uh-uh-uh-uh-uh , wannabe, right?Yeah, the real one , yeah, yeah lie"
368,1,Everything feels so strange 
369,1,Everything now has changed 
370,1,"Lost in the maze, now I'm insane hide and seek"
371,1,Stuck with you blue
372,1,A little too soon
373,1,"It's killing me, killing me "
374,1,"It's killing me, killing me"
375,1,"Killing me, uh, oh, oh, oh ()"
376,1,"It's killing me, killing me , baby"
377,1,When does it end?Try to pretend 
378,1,Something just fell apart; broken heart 
379,1,Stuck with you spin blue
380,1,A little too soon
381,1,Someday 
382,1,One day 
383,1,Someday
384,1,Someday 
385,1,One day 
386,1,Someday
387,1,Someday
388,1,One day 
389,1,Someday
390,1,"Uh, whoa (Whoa)"
391,1,"Oh, yeah, oh, yeah, yeah"
392,1,"Ah, get up, , I know it (Uh)"
393,1, (Yah-yah-yah)
394,1," move it, uh, "
395,1,"Te amo, I'll give you more"
396,1,"I'm up here, say yeah-yeah-yeah faster, yeah, so hard (Yeah)"
397,1,", (Yeah)"
398,1," , let's go on a ride (Yeah)"
399,1,", get on my bike, let's go"
400,1,"Get out of my way, yah! ( how I like it)"
401,1,"Do it my way, yah! (And it goes like broom, broom, broom, broom)"
402,1,"Get out of my way, yah! ( , face it)"
403,1,"Do it my way, yah! (And it goes like broom, broom, broom, broom)"
404,1,"I'm getting higher, you're tripping lower"
405,1,"And when I say it's done, it's freaking over (Over, whoa)"
406,1,"And I, I ride it, I ride it, you like it when I ride it"
407,1,"I ride it, I ride it (Gimme that)"
408,1,"My sweat dripping down my back, I got ice decorating my neck"
409,1,"I'll be the strongest thing, don't miss it'Cause I'm the baddest queen, I'm sicker than all of them"
410,1,Gossipin' lowkeys don't bring me no fun
411,1,"Come on, I'll slay you from tip of my tongue"
412,1,You wanna know? And know what she likes? Sit back and watch me ride
413,1," , yeah(You know you messed up, boy)"
414,1,You should've loved me at my worst
415,1,Now you just watch me on your TV screen
416,1," , yeah(You know you messed up, boy)"
417,1,I feel you (All the time)
418,1,"Warning, warning ? ,ah"
419,1," , (Na-na-na)"
420,1,"Stay tonight, stay tonight"
421,1,Stay by my side
422,1,"Stay tonight, stay tonight, stay"
423,1," , sta-a-a-ay "
424,1,"Stay with me, woah-oh"
425,1,"Tonight, stay tonight"
426,1,Tell me what you wanna do
427,1,Run away or stay toni-ah-tonight
428,1,"Toni-ah-tonight, toni-ah-tonight"
429,1,Tell me what you wanna do
430,1,Run away or stay tonight
431,1,"Ah, "
432,1,"Stay tonight, stay tonight"
433,1,Stay by my side
434,1,"Stay tonight, stay tonight, stay"
435,1,"You can find me, right?You can find me, right?You can find me, right?"
436,1, masquerade masquerade 
437,1,"Stepping, clapping slow down, down, down, down slowdown"
438,1," masquerade , oh, you there, you there masquerade "
439,1,"You can find me, right?You can find me, right?You can find me, right?I like it, like it, dum, dum, dum, du-dum, dum, dum"
440,1,"Too much color (Oh, yeah yeah)"
441,1,"Stepping, clapping slow down, down, down, down slow down"
442,1,You're exactly what you're meant to be
443,1,"Oh no, there ain't nothing wrong with you"
444,1,I lift you up so that you can see
445,1,"Oh, what your ex has done to you"
446,1,I'll always treat you different
447,1,"So why are you judging me, babe?I think the scars are healing then"
448,1,"Oh, but the feelings back again"
449,1,"I'm out of luck, out of time, I've been out of my mind"
450,1,"Now you left, but you still can't leave her behind"
451,1,When I speak in a voice that you hear isn't mine
452,1,"You said ""Give me some time"", can't you see that I'm trying?She keeps weighting us down"
453,1,I keep wondering if you wanna stay
454,1,Can't seem to get off the ground
455,1,But I keep trying to fly on faith
456,1,"No matter what you say, you got me flying on faith, yeah"
457,1,"No matter what you say, you got me flying on faith"
458,1,I let you tell me what's wrong with me
459,1,"Oh, when I don't take it out on you"
460,1,But when I tell you what's wrong with you
461,1,"Oh, boy you always got an attitude"
462,1,I'll always treat you different
463,1,"So why are you judging me, babe?I think the scars are healing then"
464,1,"Oh, but the feelings back again"
465,1,"Ooh, yeah, yeah"
466,1,"No, yeah"
467,1,"Shine for, shine for me tonight (Oh)"
468,1,Let it shine for me tonight
469,1," (Ooh-ooh, ooh-ooh-ooh)"
470,1," all day (Ooh-ooh, ooh-ooh-ooh)"
471,1,"La-la, la-la, "
472,1,"La-la, la-la, you know"
473,1,"La-la, la-la, "
474,1,Let's get it right now
475,1," (Hoping, dreaming, wishing)"
476,1, one shot (One shot)
477,1," (Ooh, yeah yeah)"
478,1,"Oh whoa, yeah, yeah"
479,1,"Oh yeah, yeah"
480,1," (Uh, uh)"
481,1," , uh "
482,1,Ooh-ooh-ooh 
483,1,Ooh-ooh-ooh 
484,1,Oh whoa-oh-oh-oh-oh-oh-oh-oh-oh ( )
485,1,Oh whoa-oh-oh-oh-oh-oh-oh-oh-oh ( )
486,1,"Oh whoa-oh-oh-oh-oh, yeah, yeah"
487,1,"Oh yeah, yeah"
488,1, ( )
489,1,"Ah, ah whoa, chill"
490,1,"Ah, ah whoa, chill"
491,1," everyday lonely, lonely Friday "
492,1,"Baby, I wanna dance with you"
493,1,Shining my youth
494,1,Style sweat dripping off me
495,1,Just cool 
496,1,Baby paradise 
497,1, chill 
498,1,I won't stop this 
499,1,"Chill, chill, chill"
500,1,"Just feel it, feel it, feel it "
501,1,Feel 
502,1,"A queen bee in this place, uh, uh, yeah bomb, bomb, bomb and say my name "
503,1,If I go blind 
504,1,"It's alright, , , "
505,1,All day long 
506,1,All night long 
507,1,If you go blind 
508,1,"Its alright, love is blind "
509,1, ()
510,1, ( )
511,1, ()
512,1, hurricane 
513,1,You're making it 
514,1,"It comes and goes, comes and goes"
515,1,"Ooh, it comes and goes, ooh"
516,1, ( )
517,1, hurricane ()
518,1,You're making it 
519,1,It comes and goes
520,1,"I remember, very first time in love"
521,1,"I remember, oh oh"
522,1,"I remember, oh oh oh oh oh so I'm in love"
523,1,"I remember, oh oh"
524,1,"I remember, whoa"
525,1,", , baby"
526,1,"I need your love, oh oh"
527,1,"I need your love, oh oh oh oh oh"
528,1," , I want you , roller coaster, ooh ahh"
529,1,"Roller coaster, oh whoa"
530,1,"I need your love, love"
531,1,"Baby, your love, love"
532,1, uh huh
533,1, baby
534,1,"I need your love, oh oh"
535,1,"I need your love, oh oh oh oh oh"
536,1,"Mmh, dont make me love you (Yeah)"
537,1,Really freaky baby ( )
538,1,"Doesn't matter what, you, baby, hate or love (Hate or love)"
539,1, drop me off take it off yeah
540,1,"Snapping, snapping "
541,1,"Snapping, snapping "
542,1,"Snapping, snapping, I will let you go"
543,1,"I know, I know"
544,1,"I don't, I don't (Care)"
545,1,"Snapping, ooh"
546,1,"Snappin', snappin' (Ooh)"
547,1,"I know, I know"
548,1,"I don't, I don't (Mind)"
549,1,"Snapping, ooh"
550,1,"Snappin', snappin'"
551,1,Baby I feel you (Yeah)
552,1, perfume 
553,1,"Shoo go on, fade away purple rain "
554,1,Hangul
555,1,Doo Doo Doop~ Doo Doo Doop~You 
556,1,I dont really mind (ah~)
557,1, (ha~)
558,1, !He's got show 
559,1,So danger 
560,1,Make me sad ?So for now Ill enjoy the ride
561,1,Take a swing with me (oh yeah)
562,1," watch your back!I got a bad boy, bad boy, bad boy (so bad)"
563,1," !I got a bad boy, bad boy, bad boy (oh he's so so bad)"
564,1,Make me feel so high (I really want it)
565,1, deep brown eyes (I really want it)
566,1," not afraid not a friend , "
567,1,I just wanna love you 
568,1,"Oh I don't know it (Oh, oh)"
569,1," on my mind love you (Oh, oh)"
570,1,"I just wanna, wanna love you"
571,1,"You make me (Oh, oh)"
572,1,"I just wanna, wanna love you"
573,1,Ooh whoa
574,1, (I really want it)
575,1,Oh (I really want it)
576,1,"Ay, s, chica"
577,1, true self always message
578,1,You gotta lead your way
579,1,And you will be okay
580,1, colors of blue beautiful it is true ready to move (Show me your love)
581,1,"Chica, chica, s, you've got it all"
582,1,"Chica, chica, s, youre beautiful"
583,1,"Let it all out, let your feelings out"
584,1,"Let the world know what you're all about (Say it, say it!)"
585,1,"Chica, chica, s, you've got it all"
586,1,"Chica, chica, s, youre living it like you wanna"
587,1,Ooh
588,1," ooh ooh, yeah yeah"
589,1,Whatever you do
590,1, yeahyeah on yeah
591,1, be yourself (You-ooh)
592,1, no more 
593,1,Are you ready? !
594,1,"Be yourself, be yourself be okay, like it"
595,1,"Get it right, keep it low be yourself"
596,1,"You, ooh-ooh, you, ooh-ooh, yeah"
597,1,"You, ooh-ooh, you, ooh-ooh, yeah "
598,1,"Just be yourself, be yourself, yeah"
599,1, ()
600,1, yeah we go hard
601,1,Let's get-get-get it yeah
602,1, ? ? ? 
603,1, ? 
604,1, my friend 
605,1,Ooh 
606,1, (gimme that)
607,1, (I'm serious)
608,1, (uh huh)
609,1, yeah 
610,1,Maybe I just can't hide (damn)
611,1, ( )
612,1, ? 
613,1, ()
614,1, ( )
615,1, ()
616,1,(Okay)
617,1, Let's do this
618,1,Now step right there
619,1,And move like this (Thats right)
620,1,Dance to it
621,1,It's such a good song for you and me (Come on)
622,1,Let's groove with me
623,1,Now step right there (Right there)
624,1,And move like this (Yeah)
625,1,Dance to it
626,1,Ooh...
627,1,"I, I call it love"
628,1,"I, I call it love "
629,1,"I, I call it love"
630,1,I call it love 
631,1,Yeah
632,1,"I've got colours of my own, I gotta paint them out"
633,1,"Yeah, I wanna go wild"
634,1,"Give the canvas what it needs, I wanna make them proud"
635,1,I am liking this style
636,1,I keep loving and that's how I win
637,1,I'm gon' be doing my own thing
638,1,Vibin' in a new paradise
639,1,"I'll keep hustling, never give in"
640,1,Pushin' it to the limit
641,1,Vibin' in a new paradise(Yeah)
642,1,"Patience, relief"
643,1,Go deep down freely
644,1,"Beautiful things, no"
645,1,I'm working hard to spell it out
646,1,"Follow my feelin'Break down my walls, I'll reach my soul"
647,1,You give me reasons
648,1,Just let it out
649,1,"Now I'll make you see what I'm about, no"
650,1,I'm working hard to spell it out
651,1,"Follow my feelin'Break down my walls, I'll reach my"
652,1,Ooh
653,1,Ooh-ooh
654,1,"Ooh, ooh, ooh"
655,1,"Yeah, yeah...Ooh, ooh, ooh"
656,1,"Ooh, ooh...(Now close your eyes)"
657,1,"Mm-mwah, cherry kisses..."
658,1, when I'm without you 
659,1,No I don't need nobody else
660,1, with you my boo
661,1,Right now now now now now
662,1,"'Cause I'm in love, so in love "
663,1,I'm in love with you bae every day
664,1,And I can't wait till I taste all of your
665,1,"Cherry kisses, kisses"
666,1,"Cherry kisses(Cherry kisses, kisses)"
667,1,Cherry kisses
668,1, when you're not around me
669,1,My lips get lonely
670,1,"They get oh so lonely, yeah yeah I'm addicted (that's right)"
671,1,You're my one and only
672,1,You're my one and only (one and only)
673,1, (I never know)
674,1,You drive me out of my mind 
675,1,Why don't you stop me now? 
676,1,"Oh, one last time with you"
677,1,"Kiss me one more time, will you?"
678,1," (I need you, oh)"
679,1,You drive me out of my mind 
680,1,Why don't you stop me now? 
681,1,Let me see your fantasy
682,1,"So now on, I wanna show you"
683,1,"From now on, how much I love you (I'm gonna make you smile)"
684,1,"So now on, I wanna love you"
685,1,"From now on, I wanna tell you , oh oh (want you to make me smile)"
686,1," , , "
687,1,I'm sure that you're my destiny
688,1,"So now on, I wanna show you"
689,1,"From now on, how much I love you (I'm gonna make you smile)"
690,1,"So now on, I wanna love you"
691,1,"From now on, I wanna tell you (want you to make me smile)"
692,1,"I'm gonna make you smile, oh oh"
693,1,Yeah I do love you
694,1,"Oh ooh ooh ooh, ooh, ooh!"
695,1,Imagine
696,1,Temperature up
697,1,Just for
698,1,Emotions
699,1,Offset
700,1,Hangul
701,1,Hmm Do what u doing doing yeah~Let my body work Let my body work all night
702,1,Imma make it worth All your time all your time Ay!I know you move Let me show ya Do it just like that Just like that 
703,1,Ill show you what you like oh! 
704,1,Dont keep me waiting
705,1,Do what u doing (doing)
706,1, Keep it up
707,1,Move like u moving (moving)
708,1, Never stop oh! !So do what u doing
709,1,Do do do it
710,1,Do what u doing (doing)
711,1, Keep it up
712,1,Move like u moving (moving)
713,1, Never stop oh! !So do what u doing (Ay!)
714,1,Hmm Do what u doing doing
715,1,I'll be ah waiting for ya So get it right now I give you one shot baby We can have a real good time Ay! Ill show you what you like oh! 
716,1,Dont keep me waiting
717,1,Do what u doing (doing)
718,1, Keep it up
719,1,Move like u moving (moving)
720,1, Never stop oh! !So do what u doing
721,1,Hangul
722,1,Doo Doo Doop~ Doo Doo Doop~You 
723,1,I dont really mind (ah~)
724,1, (ha~)
725,1, !He's got show 
726,1,So danger 
727,1,Make me sad ?So for now Ill enjoy the ride
728,1,Take a swing with me (oh yeah)
729,1," watch your back!I got a bad boy, bad boy, bad boy (so bad)"
730,1," !I got a bad boy, bad boy, bad boy (oh he's so so bad)"
731,1,I just can let him go oh!Get away boy 
732,1,I dont need you now
733,1,Oh (ha~)
734,1, stupid at all
735,1,He's got show 
736,1,So danger 
737,1,Make me sad ?
738,1,Hangul 
739,1,Romanization
740,1,Stand and hold on tight there babe
741,1,Step to the rhythm and just feel my vibe hmm
742,1,So put your hands on me
743,1,Shu wi du daa wah de dum
744,1,Stomp stomp stomp stomp stomp stomp
745,1,"Woo, babe let's go!"
746,1,Hangul
747,1,Oh Oh oh 
748,1,Ill make you mine woo 
749,1,Make them all wanna smile like star oh oh oh oh
750,1,Make a wish
751,1,Make a wish
752,1,O-o-o-o 
753,1,What a bliss
754,1,What a bliss
755,1,O-o-o-o 
756,1,Make a wish
757,1,Make a wish 
758,1,Oh for now I wish upon a star
759,1,Oh 
760,1,Oh sweety boy No
761,1,Oh sweety boy
762,1,Hangul
763,1,In your hand 
764,1,In your hand 
765,1,English Translation (rough)
766,1,I don't know where I am
767,1,If you can catch whats going on every day
768,1,How long will I stay here alone?I will spend another day and fall asleep
769,1,I stand in front of a mirror all day
770,1,With the same expression every day
771,1,In the same voice every day
772,1,I sang all day
773,1,La Lala La Larla
774,1,Even if you open your eyes
775,1,Room still lighted
776,1,Could it be done far away
777,1,Everyone leaves
778,1,In the empty space alone
779,1,Without knowing anything
780,1,I do this again
781,1,I do not know where I am
782,1,If you can catch whats going on every day
783,1,How long will I stay here alone?I will spend another day and fall asleep
784,1,The faces I want to see
785,1,Is it like me?If you stay
786,1,Is it greedy
787,1,Still my
788,1,Toward something
789,1,If you run
790,1,If I really wanted to
791,1,Among the many low stars
792,1,If only one can bear
793,1,Is it also greedy
794,1,As if there were glittering
795,1,English Translation (rough)
796,1,I don't know where I am
797,1,If you can catch whats going on every day
798,1,How long will I stay here alone?I will spend another day and fall asleep
799,1,I stand in front of a mirror all day
800,1,With the same expression every day
801,1,In the same voice every day
802,1,I sang all day
803,1,La Lala La Larla
804,1,Even if you open your eyes
805,1,Room still lighted
806,1,Could it be done far away
807,1,Everyone leaves
808,1,In the empty space alone
809,1,Without knowing anything
810,1,I do this again
811,1,I do not know where I am
