,track,artist,genre
127,Go Ghost,Jackson Wang,"['Rock', 'Alternative Rock', 'China', 'Hong Kong']"
128,The Moment,Jackson Wang,"['Pop', 'Hong Kong']"
129,Blue,Jackson Wang,"['Rock', 'Ballad', 'China', 'Hong Kong', 'Genius Korea']"
130,Blackout,Jackson Wang,"['Pop', 'Hong Kong']"
131,Dawn of us,Jackson Wang,"['Pop', 'China']"
132,Papillon,Jackson Wang,"['Rap', 'Trap', 'Hip-Hop']"
133,Poison,Jackson Wang,"['Pop', 'Hong Kong']"
134,Oxygen,Jackson Wang,['Rap']
135,In My Bed,Jackson Wang,"['Pop', 'Hong Kong']"
136,ON THE ROCKS,Jackson Wang,['Pop']
137,OKAY,Jackson Wang,"['Pop', 'China']"
138,X,Jackson Wang,"['Rap', 'China']"
139,Die For You,Joji,"['R&B', 'Pop', 'Emo Pop', 'Emo', 'Electro', 'Electro-Pop', 'Dream Pop', 'Synth-Pop', 'Alternative Pop', 'Electronic', 'Ballad', 'Piano', 'Alternative']"
140,Glimpse of Us,Joji,"['R&B', 'Pop', 'Soul Pop', 'Soul', 'Australia', 'Alternative R&B', 'Japan', 'Alternative Pop', 'Alternative', 'Adult Contemporary', 'Singer-Songwriter', 'Ballad', 'Piano']"
141,SLOW DANCING IN THE DARK,Joji,"['Pop', 'R&B', 'Australia', 'Japan', 'Electronic', 'Dark Wave', 'Synthwave', 'Synth-Pop', 'Dark Ambient', 'Ambient', 'Dark Pop', 'Alternative Pop', 'Alternative', 'Alternative R&B', 'Soul', 'Soul Pop', 'Lo-Fi', 'Ballad']"
142,Sanctuary,Joji,"['R&B', 'Pop', 'Australia', 'Japan', 'Alternative', 'Synth-Pop', 'Alternative R&B', 'Ballad']"
143,Feeling Like The End,Joji,"['R&B', 'Pop', 'Trap', 'Indie', 'Pop-R&B', 'Chill']"
144,YEAH RIGHT,Joji,"['Rap', 'R&B', 'Australia', 'Japan', 'Alternative R&B', 'Alternative Pop', 'Trap', 'Lo-Fi']"
145,Like You Do,Joji,"['Pop', 'R&B', 'Alternative Pop', 'Alternative R&B', 'Alternative']"
146,NIGHT RIDER,Joji,"['Pop', 'R&B', 'Chill', 'Indie', 'Pop-R&B', 'Alternative R&B', 'Alternative Pop', 'Indie Electronic', 'Electronic', 'Trap', 'Alternative']"
147,Will He,Joji,"['R&B', 'Australia', 'Japan', 'Alternative R&B', 'Piano', 'Lo-Fi']"
148,Daylight,Joji,"['Pop', 'R&B', 'Alternative']"
149,1AM FREESTYLE,Joji,"['Pop', 'Rap', 'R&B', 'Outro', 'Alternative R&B', 'Alternative Pop', 'Pop-R&B', 'Chill', 'Alternative', 'Freestyle']"
150,Run,Joji,"['Rock', 'R&B', 'Japan', 'Alternative R&B', 'Psychedelic Rock', 'Alternative']"
151,Demons,Joji,"['Pop', 'R&B', 'Japan', 'Ballad', 'Lo-Fi', 'Alternative R&B', 'Piano', 'Alternative Pop']"
152,TEST DRIVE,Joji,"['Pop', 'Rap', 'R&B', 'Alternative R&B', 'Alternative', 'Piano', 'Trap']"
153,Afterthought,Joji,"['Rap', 'R&B', 'Indie Rap', 'Indie', 'Trap', 'Alternative R&B', 'Alternative']"
154,ATTENTION,Joji,"['R&B', 'Japan', 'Neo Soul', 'Alternative R&B', 'Alternative', 'Piano', 'Lo-Fi']"
155,Before The Day Is Over,Joji,"['Pop', 'R&B', 'Emo Pop', 'Emo', 'Alternative R&B', 'Alternative Pop', 'Pop-R&B', 'Ballad', 'Alternative']"
156,Ew,Joji,"['R&B', 'Alternative R&B', 'Alternative']"
157,Window,Joji,"['Pop', 'R&B', 'Singer-Songwriter', 'Alternative R&B', 'Piano', 'Alternative Pop', 'Lo-Fi']"
158,WANTED U,Joji,"['Pop', 'R&B', 'Alternative Pop', 'Alternative', 'Alternative R&B', 'Alternative Rock', 'Emo', 'Lo-Fi']"
159,Gimme Love,Joji,"['Pop', 'R&B', 'Alternative R&B', 'Alternative']"
160,Plastic Taste,Joji,"['R&B', 'Pop', 'Singer-Songwriter', 'Alternative R&B', 'Alternative Pop', 'Piano', 'Lo-Fi']"
161,Gospel,Rich Brian,"['Rap', 'Indonesia', 'Florida Rap', 'Trap Metal', 'Hardcore Hip-Hop', 'East Coast', 'Korean']"
162,Achoo,Keith Ape,"['Rap', 'Trap', 'Korean']"
163,Mull,Keith Ape,"['Rap', 'K-Hip-Hop', 'Korean', 'South Korea', 'Genius Korea']"
164,All Alright,Keith Ape,"['Rap', 'Industrial Hip-Hop', 'Horrorcore', 'New York', 'Hardcore Hip-Hop', 'East Coast', 'Korean', 'Trap Metal']"
165,WeChat,Higher Brothers,"['Rap', 'K-Hip-Hop', 'South Korea', 'Korean', 'Chinese Hip-Hop', 'China']"
166,Face Pucker,Keith Ape,"['Rap', 'Horrorcore', 'New York', 'East Coast', 'Hardcore Hip-Hop', 'Trap Metal', 'Korean']"
167,Here We Go Again,Keith Ape,"['Rap', 'K-Hip-Hop', 'South Korea', 'Korean', 'Trap Metal']"
168,Hydro Ninja,Keith Ape,"['Rap', 'K-Hip-Hop', 'Korean', 'Genius Korea', 'South Korea']"
169,Diamonds,Keith Ape,"['Rap', 'Korean']"
170,Ape Sounds,Keith Ape,"['Rap', 'Trap', 'K-Hip-Hop', 'South Korea', 'Genius Korea', 'Korean']"
171,Yuh Dig,Keith Ape,"['Rap', 'K-Solo', 'K-Hip-Hop', 'South Korea', 'Genius Korea', 'Korean']"
172,Eyes Wide Shut,Keith Ape,"['Rap', 'K-Hip-Hop', 'Korean', 'South Korea', 'Genius Korea']"
173,Live long and soul lives,Keith Ape,"['Rap', 'K-Hip-Hop', 'South Korea', 'Genius Korea', 'Korean']"
174,Xen,Keith Ape,"['Rap', 'Trap', 'K-Hip-Hop', 'South Korea', 'Genius Korea', 'Korean']"
175,New Bap,Keith Ape,['Rap']
176,UL-UM,Keith Ape,"['Rap', 'Trap', 'K-Hip-Hop', 'South Korea', 'Genius Korea', 'Korean']"
177,The Awakening,Keith Ape,"['Rap', 'K-Hip-Hop', 'South Korea', 'Genius Korea', 'Korean']"
178,On My Grind,Keith Ape,['Rap']
179,MAGICIAN,Lexie Liu,"['Pop', 'Electro-Pop', 'Alternative Pop', 'Chinese', 'C-Pop', 'China']"
180,MIRA,Lexie Liu,"['Pop', 'World Music', 'China', 'Chinese', 'C-Pop', 'Mandopop']"
181,FORTUNA,Lexie Liu,"['Pop', 'World Music', 'C-Pop', 'China', 'Chinese']"
182,Manta,Lexie Liu,"['Pop', 'Chinese', 'Mandopop', 'C-Pop', 'Indie', 'Indie Pop', 'China']"
183,GANMA,Lexie Liu,"['Pop', 'Synth-Pop', 'Chinese', 'Mandopop', 'C-Pop', 'China']"
184,Mulan,Lexie Liu,"['Pop', 'Hip-Hop', 'China']"
185,Whenever,Lexie Liu,"['Pop', 'Mandopop', 'Chinese', 'China', 'C-Pop']"
186,SHADOW,Lexie Liu,"['Pop', 'Synth Rock', 'Electronic Rock', 'Electronic', 'Synth-Pop', 'China', 'C-Pop']"
187,dance dance,Lexie Liu,"['Pop', 'Synth-Pop', 'Chinese', 'Mandopop', 'C-Pop', 'China']"
188,Sleep Away,Lexie Liu,"['Pop', 'Chinese', 'C-Pop', 'China']"
189,RRR,Lexie Liu,"['Pop', 'China', 'Mandopop', 'C-Pop']"
190,Bad Dream,Lexie Liu,"['R&B', 'Soul Pop', 'Ballad', 'Alternative R&B', 'Chinese', 'Mandopop', 'C-Pop', 'China']"
191,Deep Down,Lexie Liu,"['R&B', 'China', 'C-Pop']"
192,Nada,Lexie Liu,['Pop']
193,Like A Mercedes,Lexie Liu,"['Pop', 'Indie Pop', 'China']"
194,Love and Run,Lexie Liu,['Pop']
195,Hat Trick,Lexie Liu,['Pop']
196,String Theocracy,Mili,"['Pop', 'Gaming', 'Soundtrack', 'Theme Song', 'Big Band', 'Jazz', 'Indie Pop', 'Japan']"
197,Ga1ahad and Scientific Witchery,Mili,"['Pop', 'Japan', 'Indie Pop', 'J-Pop', 'Orchestral']"
198,Summoning 101,Mili,"['Pop', 'Indie Pop', 'Japan', 'J-Pop']"
199,RTRT,Mili,"['Pop', 'China', 'Japan', 'Indie Pop', 'Electronic', 'J-Pop']"
200,Bathtub Mermaid,Mili,"['Pop', 'Japan', 'Indie Pop', 'J-Pop', 'Piano']"
201,Red Dahlia,Mili,"['Pop', 'Japan', 'Indie Pop', 'J-Pop', 'Classical Crossover']"
202,Victim,Mili,"['Pop', 'Japan', 'Indie Pop', 'J-Pop', 'Orchestral']"
203,Vitamins,Mili,"['Pop', 'Japan', 'Indie Pop', 'J-Pop', 'Electronic']"
204,Utopiosphere,Mili,"['Pop', 'Japan', 'Indie Pop', 'J-Pop', 'Classical Crossover', 'Electronic']"
205,Camelia,Mili,"['Pop', 'Japan', 'Indie Pop', 'J-Pop', 'Tango']"
206,Mirror Mirror,Mili,"['Pop', 'Japan', 'Indie Pop', 'J-Pop']"
207,Nine Point Eight,Mili,"['Pop', 'Japan', 'Indie Rock', 'J-Pop']"
208,Mushrooms,Mili,"['Pop', 'Japan', 'Indie Rock', 'J-Pop']"
209,New Tooth,Rich Brian,"['Rap', 'Jazz Rap', 'Trap', 'Indonesia', 'Hip-Hop']"
210,Sydney,Rich Brian,['Rap']
211,DOA,Rich Brian,"['Pop', 'Nu Disco']"
212,Love In My Pocket,Rich Brian,"['R&B', 'Nu Disco', 'Indonesia']"
213,BALI,Rich Brian,"['Rap', 'West Coast', 'Indonesia']"
214,Glow Like Dat,Rich Brian,"['Rap', 'Indonesia']"
215,Drive Safe,Rich Brian,"['R&B', 'Rap', 'Indonesia']"
216,The Sailor,Rich Brian,"['Pop', 'Rap', 'Baroque Pop']"
217,100 Degrees,Rich Brian,"['Rap', 'Indonesia', 'Alternative Pop']"
218,Who That Be,Rich Brian,"['Rap', 'Indonesia']"
219,Kids,Rich Brian,"['Rap', 'Indonesia', 'Conscious Hip-Hop', 'Boom Bap', 'Jazz Rap']"
220,Slow Down Turbo,Rich Brian,"['Rap', 'Experimental Hip-Hop', 'Trap']"
221,Confetti,Rich Brian,['Rap']
222,Curious,Rich Brian,"['Rap', 'Acoustic']"
223,Vacant,Rich Brian,"['Pop', 'Rap', 'Alternative']"
224,No Worries,Rich Brian,"['Pop', 'Rap', 'Alternative']"
225,Cold,Rich Brian,"['Rap', 'Indonesia', 'Conscious Hip-Hop']"
226,Gospel,Rich Brian,"['Rap', 'Indonesia', 'Florida Rap', 'Trap Metal', 'Hardcore Hip-Hop', 'East Coast', 'Korean']"
227,Seventeen,Rich Brian,"['Rap', 'Indonesia']"
228,Chaos,Rich Brian,"['Rap', 'Indonesia']"
229,Trespass,Rich Brian,['Rap']
230,See Me,Rich Brian,"['Pop', 'Rap', 'Indonesia', 'Alternative R&B', 'Trap']"
231,Amen,Rich Brian,"['Rap', 'Indonesia']"
232,Flight,Rich Brian,['Rap']
233,Occupied,Rich Brian,['Rap']
234,Lovers In The Night,Seori,"['Pop', 'EDM', 'Electronic', 'Genius Korea', 'K-Pop (케이팝)', 'K-Solo', 'South Korea']"
235,Running Through The Night,Seori,['Pop']
236,Wicked,Seori,"['R&B', 'K-Solo', 'Soul', 'South Korea', 'Genius Korea', 'Netflix', 'Soundtrack', 'K-OST']"
237,Trigger,Seori,"['R&B', 'South Korea', 'Korean', 'K-Solo', 'K-R&B', 'Genius Korea']"
238,Hairdryer,Seori,"['R&B', 'Bedroom Pop', 'Chill']"
239,Really High,Seori,['R&B']
240,Fairy Tale,Seori,"['Pop', 'K-Solo', 'South Korea', 'Genius Korea', 'Electro-Pop']"
241,I Wanna Cry,Seori,"['Pop', 'R&B', 'Indie Pop', 'Genius Korea']"
242,Beautiful Night,Seori,"['R&B', 'Korean', 'K-Solo', 'K-R&B', 'K-OST', 'South Korea', 'Genius Korea', 'Soundtrack', 'Soul']"
243,I Love You 3000,Stephanie Poetri,"['Pop', 'Indonesia', 'Soul Pop', 'Acoustic']"
244,Breakfast in Bed,Stephanie Poetri,['Pop']
245,Do You Love Me,Stephanie Poetri,['Pop']
246,Picture Myself,Stephanie Poetri,['Pop']
247,Selfish,Stephanie Poetri,['Pop']
248,Honeymoon,Stephanie Poetri,['Pop']
249,3PM,Stephanie Poetri,['Pop']
250,Straight To You,Stephanie Poetri,['Pop']
251,Touch,Stephanie Poetri,['Pop']
252,IRL,Stephanie Poetri,['Pop']
253,How We Used To,Stephanie Poetri,['Pop']
254,Little Lifetimes,Stephanie Poetri,['Pop']
255,Daydreaming,Stephanie Poetri,['Pop']
256,Paranoia,Stephanie Poetri,['Pop']
257,BOY OF THE YEAR,Warren Hue,['Rap']
258,WEST,Warren Hue,"['Pop', 'Indonesia']"
259,WEST,Warren Hue,"['Pop', 'Indonesia']"
260,omomo punk,Warren Hue,"['Pop', 'R&B']"
261,Star in Love,Warren Hue,['Rap']
262,YELLOW,Warren Hue,"['Rap', 'Indonesia']"
263,blue jeans,Warren Hue,['Rap']
264,candy choppa,Warren Hue,['Rap']
265,omomo punk,Warren Hue,"['Pop', 'R&B']"
266,blue jeans,Warren Hue,['Rap']
267,sugarbaby,Warren Hue,['Rap']
268,head over heels,Warren Hue,['Rap']
269,candy choppa,Warren Hue,['Rap']
270,bye bye sugartown,Warren Hue,['Rap']
271,lollipop thug,Warren Hue,['Rap']
272,pluto,Warren Hue,['Rap']
273,RUNAWAY W ME,Warren Hue,"['Pop', 'Indonesia']"
274,HANDSOME,Warren Hue,"['Rap', 'Indonesia']"
275,CHORDS AND PRESSURES,Warren Hue,"['Rap', 'Indonesia', 'Alternative']"
276,THIRTYNINE,Warren Hue,"['Rap', 'Indonesia']"
277,HANDSOME,Warren Hue,"['Rap', 'Indonesia']"
278,DEMOSTAR BEENLIT,Warren Hue,['Rap']
279,RUNAWAY W ME,Warren Hue,"['Pop', 'Indonesia']"
280,JADE,Warren Hue,"['Rap', 'Hip-Hop']"
